Lastupdated,Status_Timestamp,Zone_Number,Status_Description,KerbsideID,Location
2024-12-09T03:44:36+03:00,2024-12-09T03:11:05+03:00,7377,Present,57720,"-37.820041408012244, 144.9556639590486"
2024-12-09T03:44:36+03:00,2024-12-08T23:13:37+03:00,7377,Present,57743,"-37.820240787126615, 144.95569529602255"
2024-12-09T03:44:36+03:00,2024-04-04T02:19:41+03:00,7076,Present,22321,"-37.80607281981847, 144.96613095106756"
2024-12-09T03:44:36+03:00,2024-04-03T23:40:58+03:00,7076,Unoccupied,22322,"-37.80601878985087, 144.96614033993342"
2024-12-09T03:44:36+03:00,2024-12-09T02:09:56+03:00,7628,Present,51855,"-37.81441288536085, 144.96871471911504"
2024-12-09T03:44:36+03:00,2024-12-09T03:38:20+03:00,7266,Unoccupied,18643,"-37.808781745038715, 144.97293054338238"
2024-12-09T03:44:36+03:00,2024-11-29T00:55:57+03:00,7265,Unoccupied,17961,"-37.809991277464036, 144.9727355959888"
2024-12-09T03:44:36+03:00,2024-11-26T23:44:47+03:00,7265,Unoccupied,17964,"-37.81015219787814, 144.97271136949473"
2024-12-09T03:44:36+03:00,2024-12-09T00:32:50+03:00,7265,Present,17958,"-37.81054491179475, 144.97294222605115"
2024-12-09T03:44:36+03:00,2024-12-09T03:43:49+03:00,7265,Present,25020,"-37.809717904375894, 144.9730099177699"
2024-12-09T03:44:36+03:00,2024-12-09T03:32:38+03:00,7265,Unoccupied,17957,"-37.81037889742889, 144.97293892344447"
2024-12-09T03:44:36+03:00,2024-12-09T03:36:49+03:00,7265,Unoccupied,17951,"-37.81002583036282, 144.97296632752665"
2024-12-09T03:44:36+03:00,2024-12-09T03:38:35+03:00,7265,Unoccupied,17955,"-37.81026115836301, 144.97294181070765"
2024-12-09T03:44:36+03:00,2024-12-09T01:39:28+03:00,7245,Present,18826,"-37.80952354829268, 144.97483039670124"
2024-12-09T03:44:36+03:00,2024-12-09T02:21:31+03:00,7245,Present,25019,"-37.80955987757421, 144.9751513831315"
2024-12-09T03:44:36+03:00,2024-12-09T02:35:16+03:00,7245,Present,25017,"-37.80957387542762, 144.9752750708692"
2024-12-09T03:44:36+03:00,2024-12-09T03:33:43+03:00,7245,Unoccupied,25016,"-37.80949338950968, 144.97456467705467"
2024-12-09T03:44:36+03:00,2024-12-09T03:36:51+03:00,7245,Present,25015,"-37.80948638737142, 144.9745028195055"
2024-12-09T03:44:36+03:00,2024-12-09T00:32:18+03:00,7245,Unoccupied,25012,"-37.80944501560005, 144.97412631193555"
2024-12-09T03:44:36+03:00,2024-12-04T00:41:58+03:00,7245,Unoccupied,25010,"-37.80942970255988, 144.97398453296893"
2024-12-09T03:44:36+03:00,2024-12-08T22:34:31+03:00,7269,Present,17508,"-37.81151861477163, 144.97538922821744"
2024-12-09T03:44:36+03:00,2024-12-08T23:02:41+03:00,7269,Present,17509,"-37.81157750013233, 144.97538009133925"
2024-12-09T03:44:36+03:00,2024-12-09T03:27:09+03:00,7269,Present,17504,"-37.81112466079, 144.97545089882377"
2024-12-09T03:44:36+03:00,2024-12-09T03:27:37+03:00,7269,Present,24988,"-37.811138752277614, 144.9755564875249"
2024-12-09T03:44:36+03:00,2024-12-09T03:35:15+03:00,7646,Unoccupied,58118,"-37.81739501171731, 144.95351225867483"
2024-12-09T03:44:36+03:00,2024-12-08T18:49:46+03:00,7644,Present,58117,"-37.81744578216494, 144.95353562764575"
2024-12-09T03:44:36+03:00,2024-12-09T03:32:08+03:00,7644,Present,58113,"-37.81766476874189, 144.9536377149446"
2024-12-09T03:44:36+03:00,2024-12-09T03:29:08+03:00,7339,Present,63924,"-37.81550058691079, 144.9585546021399"
2024-12-09T03:44:36+03:00,2024-12-09T03:27:09+03:00,7241,Present,7500,"-37.809655479639915, 144.97728598796425"
2024-12-09T03:44:36+03:00,2024-12-09T03:19:47+03:00,7236,Unoccupied,7846,"-37.809742964199515, 144.97685058369424"
2024-12-09T03:44:36+03:00,2024-12-09T02:36:56+03:00,7236,Present,7851,"-37.80969891034127, 144.97644555131023"
2024-12-09T03:44:36+03:00,2024-12-09T02:47:43+03:00,7236,Present,7838,"-37.809816383020056, 144.97752563926633"
2024-12-09T03:44:36+03:00,2024-12-09T03:34:00+03:00,7236,Present,7488,"-37.80984059050527, 144.9777482286793"
2024-12-09T03:44:36+03:00,2024-12-09T03:29:02+03:00,7236,Unoccupied,7487,"-37.809833249091454, 144.97768072350834"
2024-12-09T03:44:36+03:00,2024-12-09T02:46:21+03:00,7236,Present,7839,"-37.80980904058886, 144.97745813357835"
2024-12-09T03:44:36+03:00,2024-12-09T02:16:58+03:00,7236,Present,7852,"-37.809691568217204, 144.97637804588027"
2024-12-09T03:44:36+03:00,2024-12-09T03:39:12+03:00,7239,Present,7856,"-37.80997470999398, 144.97892006609857"
